Processing ranked directory: run_repeated_ranks_seeds/lite_claude/all_repro_rerank_dd2eee14d967_seed2187185714
[sympy__sympy-14308] overlap 0/1: []
[sympy__sympy-18621] overlap 1/1: ['dedup_patch_7.jsonl']
[django__django-10924] overlap 1/1: ['dedup_patch_16.jsonl']
[sympy__sympy-15678] overlap 1/1: ['dedup_patch_7.jsonl']
[sympy__sympy-14024] overlap 0/1: []
[django__django-13448] overlap 0/1: []
[django__django-15781] overlap 0/1: []
[pallets__flask-4045] overlap 0/1: []
[sympy__sympy-16281] overlap 0/1: []
[sympy__sympy-13177] overlap 0/1: []
[mwaskom__seaborn-3010] overlap 1/1: ['dedup_patch_8.jsonl']
[scikit-learn__scikit-learn-25747] overlap 1/1: ['dedup_patch_31.jsonl']
[pytest-dev__pytest-8365] overlap 0/1: []
[scikit-learn__scikit-learn-13439] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-13647] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-12113] overlap 0/1: []
[django__django-12589] overlap 0/1: []
[matplotlib__matplotlib-23964] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-13971] overlap 1/1: ['dedup_patch_0.jsonl']
[scikit-learn__scikit-learn-11040] overlap 0/1: []
[django__django-12908] overlap 0/1: []
[scikit-learn__scikit-learn-14983] overlap 0/1: []
[django__django-16408] overlap 0/1: []
[django__django-15790] overlap 1/1: ['dedup_patch_4.jsonl']
[scikit-learn__scikit-learn-13497] overlap 0/1: []
[pytest-dev__pytest-7220] overlap 0/1: []
[django__django-11964] overlap 0/1: []
[django__django-16820] overlap 0/1: []
[scikit-learn__scikit-learn-15512] overlap 1/1: ['dedup_patch_18.jsonl']
[sympy__sympy-18087] overlap 0/1: []
[django__django-11049] overlap 0/1: []
[django__django-17087] overlap 0/1: []
[psf__requests-2148] overlap 0/1: []
[django__django-13660] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-14016] overlap 1/1: ['dedup_patch_18.jsonl']
[scikit-learn__scikit-learn-14894] overlap 1/1: ['dedup_patch_2.jsonl']
[matplotlib__matplotlib-25332] overlap 0/1: []
[sympy__sympy-11870] overlap 0/1: []
[sympy__sympy-15609] overlap 1/1: ['dedup_patch_11.jsonl']
[sympy__sympy-13031] overlap 0/1: []
[scikit-learn__scikit-learn-10508] overlap 0/1: []
[sympy__sympy-19487] overlap 0/1: []
[django__django-14608] overlap 1/1: ['dedup_patch_0.jsonl']
[pytest-dev__pytest-6116] overlap 0/1: []
[matplotlib__matplotlib-25311] overlap 1/1: ['dedup_patch_11.jsonl']
[django__django-11019] overlap 0/1: []
[scikit-learn__scikit-learn-25638] overlap 0/1: []
[matplotlib__matplotlib-22835] overlap 0/1: []
[sympy__sympy-13480] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-15320] overlap 0/1: []
[sympy__sympy-24909] overlap 0/1: []
[sympy__sympy-15011] overlap 1/1: ['dedup_patch_26.jsonl']
[sympy__sympy-20639] overlap 0/1: []
[scikit-learn__scikit-learn-25570] overlap 1/1: ['dedup_patch_22.jsonl']
[sympy__sympy-13895] overlap 0/1: []
[sympy__sympy-12454] overlap 0/1: []
[psf__requests-2317] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-11583] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-12708] overlap 1/1: ['dedup_patch_0.jsonl']
[mwaskom__seaborn-3407] overlap 0/1: []
[sympy__sympy-17630] overlap 0/1: []
[sympy__sympy-24102] overlap 0/1: []
[django__django-16041] overlap 1/1: ['dedup_patch_10.jsonl']
[sympy__sympy-13146] overlap 0/1: []
[django__django-15789] overlap 1/1: ['dedup_patch_0.jsonl']
[matplotlib__matplotlib-25498] overlap 1/1: ['dedup_patch_23.jsonl']
[django__django-14155] overlap 0/1: []
[django__django-12308] overlap 0/1: []
[sphinx-doc__sphinx-8282] overlap 0/1: []
[sympy__sympy-14817] overlap 0/1: []
[sphinx-doc__sphinx-10325] overlap 0/1: []
[django__django-11620] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-11099] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13933] overlap 1/1: ['dedup_patch_0.jsonl']
[pytest-dev__pytest-5495] overlap 0/1: []
[django__django-13447] overlap 1/1: ['dedup_patch_0.jsonl']
[psf__requests-3362] overlap 1/1: ['dedup_patch_10.jsonl']
[sympy__sympy-15308] overlap 0/1: []
