Processing ranked directory: run_repeated_ranks_seeds/verified_claude/all_repro_rerank_88ee034de7cc_seed2382932842
[sphinx-doc__sphinx-9281] overlap 0/1: []
[sympy__sympy-21930] overlap 0/1: []
[django__django-11292] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-16667] overlap 0/1: []
[django__django-13363] overlap 1/1: ['dedup_patch_6.jsonl']
[django__django-15022] overlap 1/1: ['dedup_patch_15.jsonl']
[django__django-14122] overlap 1/1: ['dedup_patch_5.jsonl']
[django__django-15315] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13807] overlap 0/1: []
[scikit-learn__scikit-learn-25747] overlap 1/1: ['dedup_patch_2.jsonl']
[scikit-learn__scikit-learn-13439] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-13012] overlap 1/1: ['dedup_patch_9.jsonl']
[sphinx-doc__sphinx-9461] overlap 0/1: []
[sympy__sympy-19954] overlap 1/1: ['dedup_patch_11.jsonl']
[sympy__sympy-13647] overlap 1/1: ['dedup_patch_0.jsonl']
[astropy__astropy-7671] overlap 1/1: ['dedup_patch_9.jsonl']
[psf__requests-1142] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-12262] overlap 1/1: ['dedup_patch_11.jsonl']
[sphinx-doc__sphinx-9320] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-15277] overlap 1/1: ['dedup_patch_0.jsonl']
[pylint-dev__pylint-6528] overlap 1/1: ['dedup_patch_4.jsonl']
[scikit-learn__scikit-learn-25973] overlap 1/1: ['dedup_patch_11.jsonl']
[matplotlib__matplotlib-26208] overlap 0/1: []
[django__django-14349] overlap 1/1: ['dedup_patch_9.jsonl']
[sphinx-doc__sphinx-7889] overlap 1/1: ['dedup_patch_3.jsonl']
[sphinx-doc__sphinx-8035] overlap 0/1: []
[sympy__sympy-16597] overlap 0/1: []
[scikit-learn__scikit-learn-14983] overlap 0/1: []
[astropy__astropy-13236] overlap 0/1: []
