Processing ranked directory: final_ranks_verified_gpt4o/all_repro_rerank_20250926_020103
[django__django-11292] overlap 1/1: ['dedup_patch_2.jsonl']
[django__django-13363] overlap 1/1: ['dedup_patch_6.jsonl']
[django__django-15022] overlap 0/1: []
[django__django-14122] overlap 1/1: ['dedup_patch_15.jsonl']
[django__django-15315] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-13807] overlap 0/1: []
[scikit-learn__scikit-learn-13439] overlap 1/1: ['dedup_patch_7.jsonl']
[django__django-13012] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-19954] overlap 1/1: ['dedup_patch_25.jsonl']
[astropy__astropy-7671] overlap 1/1: ['dedup_patch_0.jsonl']
[psf__requests-1142] overlap 1/1: ['dedup_patch_10.jsonl']
[django__django-12262] overlap 0/1: []
[sphinx-doc__sphinx-9320] overlap 1/1: ['dedup_patch_11.jsonl']
[django__django-15277] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-14349] overlap 1/1: ['dedup_patch_26.jsonl']
[sphinx-doc__sphinx-7889] overlap 0/1: []
[astropy__astropy-13236] overlap 1/1: ['dedup_patch_8.jsonl']
[django__django-12155] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-16333] overlap 1/1: ['dedup_patch_0.jsonl']
[matplotlib__matplotlib-26113] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-11964] overlap 1/1: ['dedup_patch_0.jsonl']
[sphinx-doc__sphinx-9698] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-16116] overlap 1/1: ['dedup_patch_20.jsonl']
[scikit-learn__scikit-learn-14894] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-16901] overlap 0/1: []
[django__django-7530] overlap 1/1: ['dedup_patch_10.jsonl']
[sympy__sympy-13877] overlap 1/1: ['dedup_patch_6.jsonl']
[django__django-14608] overlap 1/1: ['dedup_patch_1.jsonl']
[django__django-15930] overlap 1/1: ['dedup_patch_0.jsonl']
[django__django-16642] overlap 1/1: ['dedup_patch_28.jsonl']
[sympy__sympy-20801] overlap 1/1: ['dedup_patch_19.jsonl']
[matplotlib__matplotlib-25311] overlap 0/1: []
[django__django-14539] overlap 1/1: ['dedup_patch_6.jsonl']
[pydata__xarray-3677] overlap 1/1: ['dedup_patch_14.jsonl']
[matplotlib__matplotlib-24637] overlap 1/1: ['dedup_patch_0.jsonl']
[sympy__sympy-24539] overlap 1/1: ['dedup_patch_7.jsonl']
[django__django-11265] overlap 0/1: []
